id,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_id,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_id,redemption_handgun,redemption_long_gun,redemption_other,returned_id,returned_handgun,returned_long_gun,returned_other,rentals_id,rentals_handgun,rentals_long_gun,private_sale_id,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_id,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
11120,2006-09,Florida,0,,16596,13698,,674,1,11120,6,8,,11120,541,453,,11120,0,0,,11120,,,11120,,,,11120,,,,31977
11121,2006-09,Georgia,2763,,5795,9661,,332,0,11121,26,46,,11121,933,1640,,11121,0,0,,11121,,,11121,,,,11121,,,,21196
11122,2006-09,Guam,0,,12,14,,0,0,11122,0,0,,11122,0,0,,11122,0,0,,11122,,,11122,,,,11122,,,,26
11123,2006-09,Hawaii,552,,0,0,,0,0,11123,0,0,,11123,0,0,,11123,0,0,,11123,,,11123,,,,11123,,,,552
11124,2006-09,Idaho,1362,,1706,5209,,110,0,11124,1,11,,11124,238,866,,11124,0,0,,11124,,,11124,,,,11124,,,,9503
11125,2006-09,Illinois,33948,,4607,8118,,299,0,11125,0,0,,11125,0,0,,11125,0,0,,11125,,,11125,,,,11125,,,,46972
11126,2006-09,Indiana,0,,5381,8879,,265,0,11126,0,13,,11126,0,474,,11126,0,0,,11126,,,11126,,,,11126,,,,15012
11127,2006-09,Iowa,3733,,11,4437,,3,0,11127,0,2,,11127,5,143,,11127,0,0,,11127,,,11127,,,,11127,,,,8334
11128,2006-09,Kansas,0,,2809,5754,,219,0,11128,3,6,,11128,287,533,,11128,0,0,,11128,,,11128,,,,11128,,,,9611
11129,2006-09,Kentucky,100938,,5672,9943,,487,0,11129,13,31,,11129,1257,2365,,11129,0,0,,11129,,,11129,,,,11129,,,,120706
11130,2006-09,Louisiana,,,5948,10836,,253,0,11130,5,6,,11130,706,1326,,11130,0,0,,11130,,,11130,,,,11130,,,,19080
